City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
118,ribeira brava,32.65,-17.0667,297.43,72,88,3.45,PT,1700668017
119,enewetak,11.3474,162.3373,300.46,77,57,6.37,MH,1700668018
120,castlegar,49.2998,-117.6689,274.53,94,72,0.83,CA,1700668018
121,aykhal,66.0,111.5,247.74,94,100,2.36,RU,1700668019
122,hailin,44.5833,129.4167,271.85,98,100,1.29,CN,1700668020
123,nueva imperial,-38.7333,-72.95,287.51,47,89,2.28,CL,1700667988
124,avarua,-21.2078,-159.775,294.18,78,100,2.06,CK,1700668021
125,parauna,-16.9478,-50.4486,305.12,40,68,2.43,BR,1700668022
126,ust-nera,64.5667,143.2,243.31,98,100,1.61,RU,1700668023
127,iskateley,67.6803,53.1512,255.94,92,100,4.02,RU,1700668024
128,rio preto da eva,-2.6994,-59.6997,309.93,38,72,2.17,BR,1700668025
129,rio grande,-32.035,-52.0986,292.21,89,100,4.75,BR,1700667754
130,port mathurin,-19.6833,63.4167,298.49,76,84,8.06,MU,1700668027
131,kingston,17.997,-76.7936,304.95,72,20,1.54,JM,1700667881
132,labrador city,52.9463,-66.9114,267.1,86,100,7.2,CA,1700667913
133,olonkinbyen,70.9221,-8.7187,265.41,68,100,20.13,SJ,1700668030
134,remire-montjoly,4.9167,-52.2667,305.17,62,75,6.17,GF,1700668030
135,swellendam,-34.0226,20.4417,301.57,30,0,6.98,ZA,1700668031
136,punta arenas,-53.15,-70.9167,283.21,46,40,13.38,CL,1700668010
137,twin falls,42.3505,-114.6445,271.34,69,0,2.57,US,1700668033
138,mournies,35.4764,24.0092,293.37,73,20,0.0,GR,1700668034
139,isabela,6.7085,121.9711,299.18,88,85,2.36,PH,1700668034
140,whangarei,-35.7317,174.3239,287.11,98,66,1.06,NZ,1700668035
141,chernyshevskiy,63.0128,112.4714,238.57,100,81,1.21,RU,1700668036
142,kouroussa,10.65,-9.8833,308.77,14,18,0.67,GN,1700668037
143,paramonga,-10.6667,-77.8333,294.5,78,73,4.77,PE,1700668038
144,mariinsk,56.2139,87.7472,262.03,68,86,6.06,RU,1700668039
145,kiffa,16.6166,-11.4045,307.9,8,17,6.29,MR,1700668039
146,tsiombe,-25.3,45.4833,299.59,66,0,4.15,MG,1700668040
147,ta`u,-14.2336,-169.5144,299.71,79,91,6.45,AS,1700668041
148,thunder bay,48.4001,-89.3168,271.14,64,75,3.09,CA,1700667985
149,sao paulo de olivenca,-3.3783,-68.8725,305.83,54,100,1.4,BR,1700668043
150,kodiak,57.79,-152.4072,276.88,100,100,9.26,US,1700667860
151,stanley,54.868,-1.6985,284.55,86,75,7.72,GB,1700668045
152,le vauclin,14.5452,-60.8388,303.18,58,20,4.63,MQ,1700668046
153,mount pearl,47.5166,-52.7813,273.89,77,40,6.69,CA,1700668047
154,jamestown,42.097,-79.2353,279.92,99,100,5.66,US,1700667998
155,port elizabeth,-33.918,25.5701,299.31,47,0,3.09,ZA,1700667955
156,port lincoln,-34.7333,135.8667,287.05,81,16,7.7,AU,1700668050
157,kasane,-17.8167,25.15,302.2,51,0,2.57,BW,1700668050
158,lerwick,60.1545,-1.1494,283.15,78,100,13.21,GB,1700668051
159,baker city,44.7749,-117.8344,277.95,86,100,1.54,US,1700668052
160,dunedin,-45.8742,170.5036,286.93,97,57,1.47,NZ,1700668053
161,karratha,-20.7377,116.8463,303.42,43,2,6.13,AU,1700668054
162,jiagedaqi,50.4167,124.1167,260.84,62,100,4.06,CN,1700668055
163,lihue,21.9789,-159.3672,296.13,89,64,4.77,US,1700667756
164,badger,64.8,-147.5333,255.29,83,0,0.0,US,1700668056
165,geraldton,-28.7667,114.6,293.38,88,14,1.54,AU,1700668054
166,fort st. john,56.2499,-120.8529,263.09,92,100,1.03,CA,1700667835
167,pacific grove,36.6177,-121.9166,291.84,49,0,0.0,US,1700668015
168,mendeleyevsk,55.9082,52.2905,265.73,94,100,6.75,RU,1700668059
169,kuala tungkal,-0.8167,103.4667,297.63,92,100,1.76,ID,1700668060
170,kununurra,-15.7667,128.7333,300.14,83,92,2.06,AU,1700668060
171,wailua homesteads,22.0669,-159.378,295.23,89,63,1.34,US,1700668061
172,cabo san lucas,22.8909,-109.9124,299.55,50,0,0.89,MX,1700668042
173,labytnangi,66.6572,66.4183,255.08,96,100,6.37,RU,1700668063
174,mahina,-17.5065,-149.489,298.02,88,40,1.54,PF,1700668063
175,antonio enes,-16.2325,39.9086,300.36,82,28,6.84,MZ,1700668064
176,puerto baquerizo moreno,-0.9,-89.6,298.7,83,75,2.06,EC,1700668065
177,ovalle,-30.5983,-71.2003,300.12,30,0,2.68,CL,1700668066
178,flin flon,54.7682,-101.865,259.06,78,40,4.12,CA,1700668066
179,moranbah,-22.0016,148.0466,295.43,86,90,4.31,AU,1700668068
180,mayahi,13.9553,7.6712,304.24,16,100,0.54,NE,1700668069
181,bondo,3.8146,23.6866,296.61,95,83,0.58,CD,1700668069
182,ha'il,27.5219,41.6907,292.16,55,40,5.14,SA,1700668070
183,arawa,-6.2132,155.5367,298.1,92,96,1.29,PG,1700668071
184,kolonia,50.9333,6.95,280.35,63,0,1.54,DE,1700668072
185,kaba,47.35,21.2833,275.27,71,18,6.8,HU,1700668072
186,hamilton,39.1834,-84.5333,280.43,85,100,4.12,US,1700667947
187,al minya,28.1099,30.7503,294.74,33,92,1.88,EG,1700668074
188,cobija,-11.0267,-68.7692,304.25,66,40,7.72,BO,1700668075
189,waddan,29.1614,16.139,295.59,23,0,4.82,LY,1700668075
190,touros,-5.1989,-35.4608,302.21,62,75,7.18,BR,1700667957
191,hawaiian paradise park,19.5933,-154.9731,295.39,98,100,1.54,US,1700668077
192,banda aceh,5.5577,95.3222,299.39,83,100,1.37,ID,1700668078
193,castillos,-34.1667,-53.8333,292.96,49,100,4.14,UY,1700668078
194,portland,45.5234,-122.6762,283.21,94,100,2.57,US,1700667426
195,udachny,66.4167,112.4,249.51,76,100,1.82,RU,1700668081
196,weno,7.4515,151.8468,301.7,73,86,6.76,FM,1700668081
197,saudarkrokur,65.7461,-19.6394,272.49,81,20,7.92,IS,1700668082
198,fort bragg,35.139,-79.006,290.06,94,100,2.06,US,1700668083
199,kolonia town,6.964,158.206,301.6,77,32,5.79,FM,1700668084
200,gwadar,25.1216,62.3254,298.98,76,2,6.36,PK,1700667860
201,aasiaat,68.7098,-52.8699,263.76,84,98,5.35,GL,1700668085
202,itoman,26.1247,127.6694,294.16,78,5,1.54,JP,1700668086
203,sola,-13.8833,167.55,299.13,73,100,7.55,VU,1700668087
204,darwin,-12.4611,130.8418,299.14,89,8,0.0,AU,1700668048
205,baciu,46.8,23.5167,277.61,93,75,4.12,RO,1700668089
206,carnarvon,-24.8667,113.6333,295.67,84,45,5.68,AU,1700668089
207,camana,-16.6228,-72.7111,295.35,70,29,4.77,PE,1700668090
208,fale old settlement,-9.3852,-171.2468,301.67,75,100,3.97,TK,1700668091
209,mahanoro,-19.9,48.8,298.2,83,72,1.66,MG,1700668092
210,ixtapa,20.7,-105.2,299.39,100,75,1.79,MX,1700668093
211,jayapura,-2.5333,140.7,298.81,92,88,2.2,ID,1700668093
212,mudanjiang,44.5833,129.6,272.47,98,100,1.18,CN,1700668094
213,tisul',55.7611,88.3122,261.44,74,64,6.75,RU,1700668095
214,nadi,-17.8,177.4167,295.15,88,20,2.06,FJ,1700668096
215,iqaluit,63.7506,-68.5145,272.0,74,100,12.86,CA,1700668097
216,caibarien,22.5206,-79.4669,299.77,77,41,5.99,CU,1700667914
217,kaspiysk,42.8816,47.6392,283.72,93,6,3.0,RU,1700668098
218,igarka,67.4667,86.5833,242.61,99,59,2.68,RU,1700668099
219,paracale,14.2804,122.7881,298.72,92,94,3.1,PH,1700668100
220,murehwa,-17.6432,31.784,298.99,40,55,2.06,ZW,1700668101
